Name;Municipality;Owner/owner of the spv;Spv;Operator, contact details;Cabel information,contact details;"Nominal power (kW)";Installation year;Wind turbine Manufacturer;Wind turbine tip height (m);Wind turbine hub height (m);Wind turbine rotor diameter (m);Region;"Installed (1)/Not in use(0)";Demolish year
Annankangas 2;Raahe;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3450;2017;Vestas;210;147;126;Pohjois-Pohjanmaa;1;
Annankangas 3;Raahe;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3450;2017;Vestas;210;147;126;Pohjois-Pohjanmaa;1;
Annankangas 4;Raahe;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3450;2017;Vestas;210;147;126;Pohjois-Pohjanmaa;1;
Annankangas 5;Raahe;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3450;2017;Vestas;210;147;126;Pohjois-Pohjanmaa;1;
Annankangas 6;Raahe;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3450;2017;Vestas;210;147;126;Pohjois-Pohjanmaa;1;
Annankangas 7;Raahe;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3450;2017;Vestas;210;147;126;Pohjois-Pohjanmaa;1;
Annankangas 8;Raahe;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3450;2017;Vestas;210;147;126;Pohjois-Pohjanmaa;1;
Annankangas 9;Raahe;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3450;2017;Vestas;210;147;126;Pohjois-Pohjanmaa;1;
Barö 3;Inkoo;Saba Wind Ab;;;;2000;2004;Enercon;;;;Uusimaa;0;2018
Bredvik;Eckerö;JG Vind;;;;225;1995;Vestas;;;;Ahvenanmaa;0;2014
Bråttö;Föglö;Ålands Vindenergi Andelslag;;;;600;1999;Enercon;;;;Ahvenanmaa;1;
Båtskär 1;Lemland;Leovind Ab;;;;2300;2007;Enercon;100;64;71;Ahvenanmaa;1;
Båtskär 2;Lemland;Leovind Ab;;;;2300;2007;Enercon;100;64;71;Ahvenanmaa;1;
Båtskär 3;Lemland;Leovind Ab;;;;2300;2007;Enercon;100;64;71;Ahvenanmaa;1;
Båtskär 4;Lemland;Leovind Ab;;;;2300;2007;Enercon;100;64;71;Ahvenanmaa;1;
Båtskär 5;Lemland;Leovind Ab;;;;2300;2007;Enercon;100;64;71;Ahvenanmaa;1;
Båtskär 6;Lemland;Leovind Ab;;;;2300;2007;Enercon;100;64;71;Ahvenanmaa;1;
Fränsviken 1;Luoto;Larsmo Vindkraft Ab;;;;1000;2006;WinWinD;;;;Pohjanmaa;1;
Haapajärvi 1;Haapajärvi;clearvise AG;Haapajärvi Sauviinmäki Tuulivoima Oy;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;3300;2015;Vestas;200;137;126;Pohjois-Pohjanmaa;1;
Haapajärvi 2;Haapajärvi;clearvise AG;Haapajärvi Sauviinmäki Tuulivoima Oy;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;3300;2015;Vestas;200;137;126;Pohjois-Pohjanmaa;1;
Haapajärvi Savineva 1;Haapajärvi;Haapajärvi Sauviinmäki Tuulivoima Oy;Haapajärvi Sauviinmäki Tuulivoima Oy;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;3300;2017;Vestas;200;137;126;Pohjois-Pohjanmaa;1;
Haapajärvi Savineva 2;Haapajärvi;Haapajärvi Sauviinmäki Tuulivoima Oy;Haapajärvi Sauviinmäki Tuulivoima Oy;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;3300;2017;Vestas;200;137;126;Pohjois-Pohjanmaa;1;
Haapajärvi Savineva 3;Haapajärvi;Haapajärvi Sauviinmäki Tuulivoima Oy;Haapajärvi Sauviinmäki Tuulivoima Oy;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;3300;2017;Vestas;200;137;126;Pohjois-Pohjanmaa;1;
Haapajärvi Savineva 4;Haapajärvi;Haapajärvi Sauviinmäki Tuulivoima Oy;Haapajärvi Sauviinmäki Tuulivoima Oy;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;3300;2017;Vestas;200;137;126;Pohjois-Pohjanmaa;1;
Haapajärvi Savineva 5;Haapajärvi;Haapajärvi Sauviinmäki Tuulivoima Oy;Haapajärvi Sauviinmäki Tuulivoima Oy;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;3300;2017;Vestas;200;137;126;Pohjois-Pohjanmaa;1;
Haapajärvi Savineva 6;Haapajärvi;Haapajärvi Sauviinmäki Tuulivoima Oy;Haapajärvi Sauviinmäki Tuulivoima Oy;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;3300;2017;Vestas;200;137;126;Pohjois-Pohjanmaa;1;
Haapajärvi Savineva 7;Haapajärvi;Haapajärvi Sauviinmäki Tuulivoima Oy;Haapajärvi Sauviinmäki Tuulivoima Oy;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;3300;2017;Vestas;200;137;126;Pohjois-Pohjanmaa;1;
Hailikari;Hamina;Haminan Energia Oy;;;;3000;2015;Enercon;;135;101;Kymenlaakso;1;
Hankilanneva 1;Haapavesi ;Puhuri;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;6000;2022;Vestas;;166;162;Pohjois-Pohjanmaa;1;
Hankilanneva 2;Haapavesi ;Puhuri;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;6000;2022;Vestas;;166;162;Pohjois-Pohjanmaa;1;
Hankilanneva 3;Haapavesi ;Puhuri;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;6000;2022;Vestas;;166;162;Pohjois-Pohjanmaa;1;
Hankilanneva 4;Haapavesi ;Puhuri;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;6000;2022;Vestas;;166;162;Pohjois-Pohjanmaa;1;
Hankilanneva 5;Haapavesi ;Puhuri;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;6000;2022;Vestas;;166;162;Pohjois-Pohjanmaa;1;
Hankilanneva 6;Haapavesi ;Puhuri;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;6000;2022;Vestas;;166;162;Pohjois-Pohjanmaa;1;
Hankilanneva 7;Haapavesi ;Puhuri;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;6000;2022;Vestas;;166;162;Pohjois-Pohjanmaa;1;
Hankilanneva 8;Haapavesi ;Puhuri;;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;Puhuri Oy, Teppo Hilakivi, teppo@hilakivi@puhuri.fi;6000;2022;Vestas;;166;162;Pohjois-Pohjanmaa;1;
Hankosaari 1;Uusikaupunki;Propel Voima Oy;;;;1300;1999;Nordex Acciona;;;;Varsinais-Suomi;0;2015
Hankosaari 2;Uusikaupunki;Propel Voima Oy;;;;1300;1999;Nordex Acciona;;;;Varsinais-Suomi;0;2015
Harrström 2;Närpiö;Harrström Vindpark Ab;;;;3000;2017;Vestas;;105;90;Pohjanmaa;1;
Harrström 3;Närpiö;Harrström Vindpark Ab;;;;3000;2017;Vestas;;105;90;Pohjanmaa;1;
Haukineva 1;Kurikka;EE Primus Oy;;;;3450;2017;Vestas;200;132;136;Etelä-Pohjanmaa;1;
Haukineva 2;Kurikka;EE Primus Oy;;;;3450;2017;Vestas;200;132;136;Etelä-Pohjanmaa;1;
Hedet 1;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 2;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 3;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 4;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 5;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 6;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 7;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 8;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 9;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 10;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 11;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 12;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 13;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 14;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 15;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 16;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 17;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hedet 18;Närpiö;Neoen/PROKON Wind Energy Finland Oy ;Hedet Vindpark AB;Neoen;Neoen;4500;2019;Nordex Acciona;210;135,5;149;Pohjanmaa;1;
Hilskansaari;Pori;Kansallistuuli Oy;;;;1000;2007;WinWinD;;80;90;Satakunta;0;2015
Hilskansaari;Pori;Pohjantuulen Voima;;;;2000;2014;Vestas;;75;;Satakunta;1;
Hirvineva 1;Liminka;Winda Power Oy;Tuulipuisto Oy Hirvineva;TM Voima;;4800;2020;Nordex Acciona;230;163,4;133,2;Pohjois-Pohjanmaa;1;
Hirvineva 2;Liminka;Winda Power Oy;Tuulipuisto Oy Hirvineva;TM Voima;;4800;2020;Nordex Acciona;230;163,4;133,2;Pohjois-Pohjanmaa;1;
Hirvineva 3;Liminka;Winda Power Oy;Tuulipuisto Oy Hirvineva;TM Voima;;4800;2020;Nordex Acciona;230;163,4;133,2;Pohjois-Pohjanmaa;1;
Hirvineva 4;Liminka;Winda Power Oy;Tuulipuisto Oy Hirvineva;TM Voima;;4800;2020;Nordex Acciona;220;153,4;133,2;Pohjois-Pohjanmaa;1;
Huikku;Hailuoto;Huikku Tuulivoima Oy;;;;2000;2015;Vestas;;;;Pohjois-Pohjanmaa;1;
Huikku;Hailuoto;Spawer Kraft Ab;;;;500;1997;Nordtank;;80;90;Pohjois-Pohjanmaa;0;2015
Huittinen 1;Huittinen;Nordeco Oy;;;;75;2003;Nordtank;;;;Satakunta;1;
Högsåra 1;Kemiönsaari;Viawind Oy;;;;2000;2007;STX Windpower;60;;;Varsinais-Suomi;1;
Högsåra 2;Kemiönsaari;Viawind Oy;;;;2000;2007;STX Windpower;60;;;Varsinais-Suomi;1;
Högsåra 3;Kemiönsaari;Viawind Oy;;;;2000;2007;STX Windpower;60;;;Varsinais-Suomi;1;
Ilosjoki 1;Pihtipudas;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;140;150;Keski-Suomi;1;
Ilosjoki 2;Pihtipudas;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;140;150;Keski-Suomi;1;
Ilosjoki 3;Pihtipudas;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;140;150;Keski-Suomi;1;
Ilosjoki 4;Pihtipudas;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;140;150;Keski-Suomi;1;
Ilosjoki 5;Pihtipudas;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;140;150;Keski-Suomi;1;
Ilosjoki 6;Pihtipudas;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;140;150;Keski-Suomi;1;
Ilosjoki 7;Pihtipudas;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;140;150;Keski-Suomi;1;
Ilvesjoki 1;Kurikka;Pramia Oy;;;;750;2011;Südwind ;;;;Etelä-Pohjanmaa;1;
Isonnevanmäki;Kauhava;Tuuliveikot Oy;;;;2500;2014;Enercon;;135;100;Etelä-Pohjanmaa;1;
Jakoistenkallio 1;Sievi;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Jakoistenkallio 2;Sievi;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Jakoistenkallio 3;Sievi;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Jakoistenkallio 4;Sievi;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Jakoistenkallio 5;Sievi;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Jakoistenkallio 6;Sievi;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Jakoistenkallio 7;Sievi;Luxcara;;Abo Wind Services Oy, Jan Assmus;Abo Wind Services Oy, Jan Assmus;4200;2021;Vestas;;137;126;Pohjois-Pohjanmaa;1;
Jeppo 1;Uusikaarlepyy;EE Primus Oy;;;;3450;2017;Vestas;200;137;126;Pohjanmaa;1;
Jeppo 2;Uusikaarlepyy;EE Primus Oy;;;;3450;2017;Vestas;200;137;126;Pohjanmaa;1;
Jokela 1;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Jokela 10;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Jokela 11;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Jokela 12;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Jokela 2;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Jokela 3;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Jokela 4;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Jokela 5;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Jokela 6;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Jokela 7;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Jokela 8;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Jokela 9;Kalajoki;Suomen Hyötytuuli Oy;;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;Pori Energia Tuulivoimapalvelut, Jari Lappalainen, jari.lappalainen@porienergia.fi;3000;2015;Nordex Acciona;;140;117;Pohjois-Pohjanmaa;1;
Joukhaisselkä 1;Sodankylä;Allianz Capital Partners;Joukhaisselän tuulipuisto Oy; ;;3000;2015;Nordex Acciona;178.5;120;117;Lappi;1;
Joukhaisselkä 2;Sodankylä;Allianz Capital Partners;Joukhaisselän tuulipuisto Oy; ;;3000;2015;Nordex Acciona;178.6;120;117;Lappi;1;
Joukhaisselkä 3;Sodankylä;Allianz Capital Partners;Joukhaisselän tuulipuisto Oy; ;;3000;2015;Nordex Acciona;178.7;120;117;Lappi;1;
Joukhaisselkä 4;Sodankylä;Allianz Capital Partners;Joukhaisselän tuulipuisto Oy; ;;3000;2015;Nordex Acciona;178.8;120;117;Lappi;1;
Joukhaisselkä 5;Sodankylä;Allianz Capital Partners;Joukhaisselän tuulipuisto Oy; ;;3000;2015;Nordex Acciona;178.9;120;117;Lappi;1;
Joukhaisselkä 6;Sodankylä;Allianz Capital Partners;Joukhaisselän tuulipuisto Oy; ;;3000;2015;Nordex Acciona;178.10;120;117;Lappi;1;
Joukhaisselkä 7;Sodankylä;Allianz Capital Partners;Joukhaisselän tuulipuisto Oy; ;;3000;2015;Nordex Acciona;178.11;120;117;Lappi;1;
Joukhaisselkä 8;Sodankylä;Allianz Capital Partners;Joukhaisselän tuulipuisto Oy; ;;3000;2015;Nordex Acciona;178.12;120;117;Lappi;1;
