Tuulipuisto / Wind Farm;Valmistunut / Online in;Voimaloita WTG;Teho / Capacity (MW);Omistaja / Wind Farm Owner;Voimalavalmistaja Turbine manufacturer;Online (1)  / not in use (0);Purkuvuosi Demolish year
Kalajoki, Mustilankangas I;2015;22;73;Exilion Tuuli Ky;Vestas;1;
Kankaanpäänmäki;2015;3;8;SPC 1-Kankaanpäänmäki Oy;Enercon;1;
Kuolavaara-Keulakkopää;2015;9;27;Allianz;Nordex;1;
Nyby, Ii;2015;1;2;Taaleri Energia ;Nordex;1;
Merijärvi, Pyhäjoki, Pyhänkoski;2015;4;13;Tunturivoima/Puhuri;Vestas;1;
Pori, Kirrinsanta;2015;2;7;Suomen Hyötytuuli Oy;Vestas;1;
Siikajoki, Vartinoja I;2015;8;22;Exilion Tuuli Ky;Alstom;1;
Sodankylä, Joukhaisselkä-Tuore Kulvakkoselkä;2015;9;27;Allianz Capital Partners;Nordex;1;
Tornio, Röyttä, Puuska II;2015;5;17;Rajakiiri Oy;Vestas;1;
Vähäkyrö, Torkkola;2015;16;53;EPV Tuulivoima Oy;Vestas;1;
Ylivieska, Pajukoski;2015;9;30;Taaleri Energia ;Vestas;1;
Ii, Laitakari;2014;1;1;Lumituuli Oy;Enercon;1;
Ii, Olhava (Nyby);2014;7;17;Taaleri Energia;Nordex;1;
Kauhajoki , Sysimylly;2014;1;3;Sysituuli Oy;Lagerway;1;
Kauhava, Kortesjärvi / Isonnevanmäki;2014;1;3;Tuuliveikot Oyt;Lagerway;1;
Koskenkorva;2014;2;3;Koskenkorvan Tuulivoima Oy  ;Dong Fang;1;
Kotka, Mussalo;2014;2;5;Kotkan Energia Oy;Enercon;1;
Luhanka, Latamäki;2014;6;18;Exilion Tuuli Ky;Vestas;1;
Lumijoki, Varjakka;2014;1;2;Lumituuli Oy;Vestas;1;
Närpiö, Svalskulla;2014;5;15;Vindin AB;Vestas;1;
Peräseinäjoki;2014;1;2;Mika Manni;Dong Fang;1;
Pori, Hilskansaari;2014;1;2;Pohjantuulen Voima;Vestas;1;
Pori, Peittoonkorpi;2013;11;50;Exilion Tuuli Ky;Gamesa;1;
Raahe, Kopsa II-vaihe;2014;10;33;Puhuri Oy;Vestas;1;
Raahe, satama I;2014;2;6;Raahe Energia;Nordex;1;
Salo Märynummi;2014;3;15;Exilion Tuuli Ky & Restuuli;Gamesa;1;
Tornio, Kitkiäisvaara;2014;8;36;Exilion Tuuli Ky;Gamesa;1;
Honkajoki, Kirkkokallio;2013;9;22;Goodyields Capital GmbH:n ja Access Capital Partners;Nordex;1;
Ii Olhava II;2013;3;10;Aquila Capital;Vestas;1;
Lappeenranta, Muukko;2013;7;21;Exilion Tuuli Ky;Alstom;1;
Merijärvi, Ristiveto;2013;6;14;Oy Herrfors Ab;Siemens Gamesa;1;
Raahe, Kopsa I-vaihe;2013;7;21;Puhuri Oy;Siemens Gamesa;1;
Simo, Leipiö;2013;4;18;Tuuliwatti Oy;Siemens Gamesa;1;
Naapala, Salo;2013;1;1;Halikon Tuulienergia Oy;Siemens Gamesa;1;
Kytövuosi, Ruovesi;2013;1;1;Tuulivoima Heinola Oy;Siemens Gamesa;1;
Kiikerinkylä, Ilmajoki;2013;1;0,2;HautalaPower Oy;Enercon;1;
Krisantie, Eurajoki;2013;1;1;Ari-Matti Väkiparta;Enercon;1;
Vampula, Huittinen;2013;3;1;Nordeco Oy;Nordtank;1;
Peittoonkorpi, Pori;2013;1;5;Exilion Tuuli Ky;Siemens Gamesa;1;
Raitniemi, Sauvo;2013;1;1;Tommi Heininen;Siemens Gamesa;1;
Tervola, Varevaara;2013;10;30;Exilion Tuuli Ky;Vestas;1;
Teuva;2013;1;3;Pertunmäen Mylly Oy;Enercon;1;
Simo, Onkalo;2012;3;9;Exilion Tuuli Ky;Vestas;1;
Simo, Putaankangas;2012;1;3;Aquila Capital;Vestas;1;
Huittinen, Pahkionvuori;2012;2;4;Lännen Lintu Oy, Sallila Energia Oy  ;Enercon;1;
Vaasa, Sundom;2012;1;4;Wasa Wind Oy;Mervento;1;
Hamina, Mäkelänkangas;2012;4;8;Suomen Voima Oy;Huyndai;1;
Ii, Olhava;2012;8;24;Aquila Capital;Vestas;1;
Aljonvuori, Ikaalinen;2012;1;1;Ilkka Klinga;Siemens;1;
Sumi, Kemi;2012;1;2;Sumituuli Oy;Hyundai;1;
Teiharju, Ikaalinen;2011;1;1;Ilkka Klinga;Nordex Acciona;1;
Putaankangas, Simo;2011;2;6;Aquila Capital;Vestas;1;
Ilvesjoki, Jalasjärvi;2011;1;1;Pramia;Südwind ;1;
Hamina, Summa;2010;4;12;Haminan energia Oy;WinWinD;1;
Raahe, Raahe II;2010;4;9;Suomen Hyötytuuli Oy;Siemens Gamesa;1;
Tornio, Röyttä;2010;8;29;Rajakiiri Oy;Siemens Gamesa;1;
Vuorensyrjänkallio;2010;2;1;HP Energia;NEGMicon;1;
Pori, Pori offshore I;2010;1;2;Suomen Hyötytuuli Oy;Siemens Gamesa;1;
Ii Laitakari;2009;1;1;Iin Energia Oy;WinWinD;1;
Jylisevä, Jalasjärvi;2009;1;1;Kauppilan autohajottamo;Südwind ;1;
Riihontie, Alavus;2009;1;1;Terho Riiho;NEGMicon;1;
Tahkoluoto, Pori;2009;1;3;Exilion Tuuli Ky;WinWinD;1;
Riutunkari, Oulu;2008;2;6;Pohjantuulen Voima;WinWind;1;
Ajos, Kemi;2008;9;27;Innopower;WinWind;0;2016
Högsåra, Kemiönsaari;2007;3;6;Viawind Oy;STX Windpower;1;
Båtskär, Lemland;2007;6;14;Leovind Ab;Enercon;1;
Hilskansaari, Pori;2007;1;1;Kansallistuuli;WinWind;0;2015
Ajos, Kemi;2007;1;3;Innopower;WinWind;0;2016
Meri-Pori, Pori;2006;1;3;Suomen Hyötytuuli;WinWinD;1;
Fänsiviken, Luoto;2006;1;1;Larsmo Vindkraft Ab;WinWinD;1;
Kasberget, Sottunga;2005;1;1;Ålands Vindenergi Andelslag;Vestas;1;
Ajos 1, Kemi;2005;1;3;Haminan Energia;WinWinD;0;2016
Krisangtie, Eurajoki;2005;1;0;Ari Matti Väkiparta;NEGMicon;0;2013
Marjamäenvuori, Sastamala;2005;1;0;Oittisen tila Ky;Vestas;1;
Barö 3, Inkoo;2004;1;2;Saba Wind;Enercon;0;2018
Vihreäsaari T2, Oulu;2004;1;3;Innopower;WinWinD;0;2016
Sandö, Hanko;2004;4;8;Saba Wind;Enercon;1;
Raahe, Kuljuniemi;2004;5;12;Suomen Hyötytuuli;Siemens Gamesa;1;
Olkiluoto, Eurajoki;2004;1;1;Teollisuuden voima;WinWinD;0;2018
Huittinen;2003;1;0;Nordeco;Nordtank;1;
Kokkola T1-T2;2003;2;2;Innopower;WinWinD;0;2016
Kristiinankaupunki, T1 -T3;2003;3;3;Innopower;WinWinD;0;2016
Lumparland, Krogstad;2003;2;1;Ålands Vindenergi Andelslag;Enercon;1;
Riutunkari, Oulunsalo;2003;3;3;Innopower;WinWinD;0;2015
Vaasantie, Jalasjärvi;2003;1;0;Hannu-Pekka Kivistö;Winworld;1;
Meri-Pori, Pori;2002;1;2;Suomen Hyötytuuli;Siemens Gamesa;1;
Vatunki, Kuivaniemi;2002;1;2;Vapo;Vestas;1;
Vihreäsaari T1, Oulu;2001;1;1;Innopower;WinWinD;0;2016
Bråttö, Föglö;1999;1;1;Ålands Vindenergi Andelag;Enercon;1;
Hankoaari, Uusikaupunki;1999;2;3;Propel Voima;Nordex Acciona;0;2015
Kotka;1999;1;1;Kotkan Energia;Siemens Gamesa;0;2015
Olos, Muonio;1999;3;2;Tunturituuli;Siemens Gamesa;1;
Pori, Reposaari;1999;4;4;Suomen Hyötytuuli;Siemens Gamesa;1;
Pori, Reposaari;1999;1;1;Suomen Hyötytuuli;Siemens Gamesa;0;2014
Pori, Reposaari;1999;3;3;Suomen Hyötytuuli;Siemens Gamesa;0;2022
Petböle, Finström;1999;1;1;Ålands Vindkraft Ab;Enercon;1;
Vatunki, Kuivaniemi, Ii;1999;3;2;Vapo;NEGMicon;1;
Öskata, Närpiö;1999;1;1;Öskata Vind Ab;NEGMicon;1;
Lammasoavi, Enontekiö;1998;1;1;Tunturituuli;Siemens Gamesa;1;
Olos, Muonio;1998;2;1;Tunturituuli;Siemens Gamesa;1;
Pettböle, Finström;1998;2;1;Ålands Vindkraft Ab;Enercon;1;
Vardö, Listersby;1998;1;1;Ålands Vindenergi Andelslag;Enercon;1;
Kuivamatala, Ii;1998;3;2;Vapo;NEGMicon;1;
Knutsboda, Lemland;1997;4;2;Ålands Vindenergi Andelslag + Ålands Skogsägarförbund + Ålands Vindkraft Ab;Vestas;1;
Huikku, Hailuoto;1997;1;1;Spawer Kraft Ab;Nordtank;0;2015
Tauvo, Siikajoki;1997;2;1;Spawer Kraft Ab;Nordtank;0;2015
Kökar, Lemland;1997;1;1;Ålands Vindenergi Andelslag;Enercon;1;
Lammasoavi, Enontekiö;1996;2;1;Tunturituuli;Siemens Gamesa;1;
Mellanön, Eckerö;1995;1;1;JG Vind;Vestas;1;
Bredvik, Eckerö;1995;1;0;JG Vind;Vestas;0;2014
Marjaniemi, Hailuoto;1995;1;1;Spawer Kraft;Nordtank;0;2014
Vatunki, Kuivaniemi, Ii;1995;1;1;Vapo;Nordtank;1;
Pori, Reposaari;1993;1;0;Pori Energia;Nordtank;0;2016
Säikkä, Siikajoki;1993;2;1;Spawer Kraft;Nordtank;0;2015
Marjaniemi, Hailuoto;1993;2;1;Spawer Kraft;Nordtank;0;2014
Korsnäs, Vaasa;1991;2;0;Korsnäsin tuulipuisto;Nordtank;0;2017
